City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Sabang,ID,83.68,overcast clouds,5.8933,95.3214,Hotel Citra
206,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
207,Las Palmas,ES,61.59,clear sky,28.4204,-14.0131,Casillas De Morales 59.
208,Bahia De Caraquez,EC,80.78,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
209,Edgewater,US,75.34,clear sky,28.9889,-80.9023,Islander Beach Resort
212,Maragogi,BR,78.21,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
213,Bentiu,SS,85.1,overcast clouds,9.2333,29.8333,Mandela hôtel
214,Ouargaye,BF,94.1,few clouds,11.5033,0.0572,Résidence le Cotonnier
215,Nago,JP,77.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
216,Santo Amaro Da Imperatriz,BR,76.8,moderate rain,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
218,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Taloa Heights
219,Guerrero Negro,MX,66.51,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
220,Praia Da Vitoria,PT,57.45,broken clouds,38.7333,-27.0667,Hotel Branco I
221,Port Lincoln,AU,60.17,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
222,Peniche,PT,51.12,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
224,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
225,North Platte,US,91.29,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
227,Maxixe,MZ,70.84,overcast clouds,-23.8597,35.3472,Oceano
229,Ribeira Grande,PT,58.48,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
230,Santa Cruz De Tenerife,ES,63.72,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
231,Skibbereen,IE,56.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
232,Chiredzi,ZW,64.62,few clouds,-21.05,31.6667,Clevers Hotel Chiredzi
235,Laguna,US,70.05,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
237,Bonthe,SL,80.37,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
