City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Topeka,US,39.0483,-95.678,79.18,62,100,25.32,overcast clouds
154,Kjopsvik,NO,68.097,16.3742,39.16,91,97,3.47,overcast clouds
155,Jishou,CN,28.3167,109.7167,68.9,92,97,1.45,overcast clouds
156,Petrivka,UA,46.9695,30.9591,47.52,86,80,14.2,broken clouds
157,Tautira,PF,-17.7333,-149.15,79.18,75,82,16.13,light rain
158,Mariestad,SE,58.7097,13.8237,45.37,63,6,7.7,clear sky
159,Bintulu,MY,3.1667,113.0333,79.21,94,20,2.3,thunderstorm
160,Hasaki,JP,35.7333,140.8333,66.29,81,100,4.05,overcast clouds
161,Oltu,TR,40.5498,42.0013,45.32,69,34,0.63,scattered clouds
162,Manokwari,ID,-0.8667,134.0833,79.43,79,98,2.3,heavy intensity rain
163,Namwala,ZM,-15.7504,26.4384,64.13,92,97,3.98,overcast clouds
164,Xam Nua,LA,20.4197,104.0439,63.63,89,1,2.48,clear sky
165,Kikwit,CD,-5.041,18.8162,71.82,97,100,2.33,light rain
166,Takoradi,GH,4.8845,-1.7554,80.76,86,22,10.11,few clouds
167,Bure,ET,10.7,37.0667,60.98,78,100,4.56,light rain
168,Tomatlan,MX,19.9333,-105.25,86.13,38,5,10.65,clear sky
169,Berlevag,NO,70.8578,29.0864,35.4,85,99,14.43,overcast clouds
170,Shingu,JP,33.7333,135.9833,67.75,65,100,4.85,overcast clouds
171,Road Town,VG,18.4167,-64.6167,78.89,69,40,8.05,scattered clouds
172,Kashin,RU,57.3592,37.6081,45.93,85,97,4.52,overcast clouds
173,Victoria,HK,22.2855,114.1577,78.96,89,10,5.01,clear sky
174,Coihaique,CL,-45.5752,-72.0662,44.55,93,100,5.75,moderate rain
175,Barra Do Garcas,BR,-15.89,-52.2567,74.5,59,39,2.33,scattered clouds
176,Sechura,PE,-5.5569,-80.8222,74.52,67,25,18.92,scattered clouds
177,Rosarito,MX,32.3333,-117.0333,65.25,62,75,18.66,broken clouds
178,Husavik,IS,66.0449,-17.3389,42.93,80,43,3.69,scattered clouds
179,Adrar,MR,20.5022,-10.0711,75.27,17,78,11.32,broken clouds
180,Den Helder,NL,52.9599,4.7593,55.38,77,100,17.27,overcast clouds
181,Sola,VU,-13.8833,167.55,81.21,75,100,12.33,overcast clouds
182,Shimoda,JP,34.6667,138.95,66.56,72,91,17.98,overcast clouds
183,Kudahuvadhoo,MV,2.6708,72.8944,82.78,75,100,10.71,overcast clouds
184,Aljezur,PT,37.3191,-8.8033,52.97,75,86,22.01,overcast clouds
185,Pokhara,NP,28.2333,83.9833,66.78,50,0,7.52,clear sky
186,Bambous Virieux,MU,-20.3428,57.7575,76.21,69,40,12.66,scattered clouds
187,Aklavik,CA,68.2191,-135.0107,24.76,85,100,19.19,overcast clouds
188,Medea,DZ,36.2642,2.7539,51.55,47,36,3.2,scattered clouds
189,Port Hardy,CA,50.6996,-127.4199,51.98,71,75,2.3,broken clouds
190,Kurilsk,RU,45.2333,147.8833,46.09,83,68,9.37,light rain
191,Souillac,MU,-20.5167,57.5167,75.58,69,40,12.66,scattered clouds
192,Thompson,CA,55.7435,-97.8558,40.41,69,94,6.49,overcast clouds
193,Shenzhen,CN,22.5455,114.0683,78.85,92,17,3.71,few clouds
194,Boa Vista,BR,2.8197,-60.6733,82.38,65,20,2.3,few clouds
195,Oytal,KZ,42.9057,73.2697,59.04,56,35,4.09,scattered clouds
196,Havoysund,NO,70.9963,24.6622,34.03,76,100,15.21,overcast clouds
197,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,87,20,8.05,few clouds
198,Sisimiut,GL,66.9395,-53.6735,26.4,89,100,6.38,overcast clouds
199,Emerald,AU,-23.5333,148.1667,68.34,80,78,17.72,broken clouds
200,Bac Lieu,VN,9.285,105.7244,82.24,77,50,9.35,scattered clouds
201,Dunedin,NZ,-45.8742,170.5036,59.81,49,75,3.0,broken clouds
202,Constitucion,CL,-35.3333,-72.4167,56.44,94,90,1.54,overcast clouds
203,Georgetown,MY,5.4112,100.3354,82.33,93,20,0.0,few clouds
204,Hobyo,SO,5.3505,48.5268,82.85,75,86,12.03,overcast clouds
205,Sabang,ID,5.8933,95.3214,83.68,75,88,7.43,overcast clouds
206,Cayenne,GF,4.9333,-52.3333,77.09,1,100,3.44,overcast clouds
207,Las Palmas,ES,28.4204,-14.0131,61.59,63,0,5.75,clear sky
208,Bahia De Caraquez,EC,-0.6,-80.4167,80.78,85,89,7.85,overcast clouds
209,Edgewater,US,28.9889,-80.9023,75.34,60,0,17.27,clear sky
210,Demyansk,RU,57.643,32.466,41.43,87,15,4.07,few clouds
211,Kamenka,RU,51.3223,42.7678,43.14,94,85,7.2,overcast clouds
212,Maragogi,BR,-9.0122,-35.2225,78.21,84,10,6.78,clear sky
213,Bentiu,SS,9.2333,29.8333,85.1,48,98,4.99,overcast clouds
214,Ouargaye,BF,11.5033,0.0572,94.1,30,12,6.98,few clouds
215,Nago,JP,26.5881,127.9761,77.45,89,100,10.36,overcast clouds
216,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,76.8,81,100,3.98,moderate rain
217,Narsaq,GL,60.9167,-46.05,44.82,92,100,3.76,overcast clouds
218,Alofi,NU,-19.0595,-169.9187,84.09,79,4,10.36,clear sky
219,Guerrero Negro,MX,27.9769,-114.0611,66.51,61,26,25.21,scattered clouds
220,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,82,75,10.16,broken clouds
221,Port Lincoln,AU,-34.7333,135.8667,60.17,67,100,15.01,overcast clouds
222,Peniche,PT,39.3558,-9.3811,51.12,82,100,20.65,overcast clouds
223,Klyuchi,RU,52.2667,79.1667,30.6,50,1,3.85,clear sky
224,Chicama,PE,-7.8447,-79.1469,61.34,76,85,7.4,overcast clouds
225,North Platte,US,41.1239,-100.7654,91.29,26,100,34.0,overcast clouds
226,Beian,NO,63.6559,9.5683,42.01,81,0,1.14,clear sky
227,Maxixe,MZ,-23.8597,35.3472,70.84,80,100,4.41,overcast clouds
228,Chapais,CA,49.7834,-74.8492,29.98,73,94,10.02,overcast clouds
229,Ribeira Grande,PT,38.5167,-28.7,58.48,66,95,13.29,overcast clouds
230,Santa Cruz De Tenerife,ES,28.4682,-16.2546,63.72,82,0,13.8,clear sky
231,Skibbereen,IE,51.55,-9.2667,56.1,65,100,18.95,overcast clouds
232,Chiredzi,ZW,-21.05,31.6667,64.62,90,13,2.75,few clouds
233,Kropotkin,RU,45.4375,40.5756,41.94,82,14,2.46,few clouds
234,Pincher Creek,CA,49.4833,-113.952,46.56,62,100,16.11,overcast clouds
235,Laguna,US,38.421,-121.4238,70.05,40,20,3.44,few clouds
236,Solnechnyy,RU,50.7214,136.6319,31.19,82,98,7.18,overcast clouds
237,Bonthe,SL,7.5264,-12.505,80.37,83,99,5.88,overcast clouds
238,San Pedro,PH,14.35,121.0167,84.25,68,20,5.75,few clouds
239,Tholos,GR,40.9999,23.7823,53.67,87,7,2.53,clear sky
240,Nguru,NG,12.8791,10.4526,89.55,13,100,3.8,overcast clouds
241,Vagur,FO,61.4732,-6.8119,43.5,80,53,24.63,broken clouds
