City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Eravur,LK,2022-04-22 18:06:42,7.7733,81.6095,79.68,83,97,3.83
116,Bambous Virieux,MU,2022-04-22 18:01:01,-20.3428,57.7575,78.22,78,71,20.98
117,Eureka,US,2022-04-22 18:06:43,40.8021,-124.1637,57.25,75,50,1.99
118,Bodden Town,KY,2022-04-22 18:06:44,19.2833,-81.25,86.0,70,40,14.97
119,Luderitz,NA,2022-04-22 18:02:12,-26.6481,15.1594,64.17,67,12,21.97
120,Mugla,TR,2022-04-22 18:06:45,37.2303,28.3557,54.73,55,2,2.1
121,Takoradi,GH,2022-04-22 18:06:45,4.8845,-1.7554,81.55,80,94,9.44
122,Hithadhoo,MV,2022-04-22 18:00:51,-0.6,73.0833,85.03,68,100,10.87
123,Kupiskis,LT,2022-04-22 18:06:46,55.8333,24.9667,50.74,58,89,5.7
124,Butaritari,KI,2022-04-22 17:57:05,3.0707,172.7902,81.91,76,31,19.77
125,Ilulissat,GL,2022-04-22 18:02:09,69.2167,-51.1,23.02,80,100,0.0
126,Eagle Pass,US,2022-04-22 18:06:47,28.7091,-100.4995,86.27,61,100,16.11
127,Ixtapa,MX,2022-04-22 18:06:48,20.7,-105.2,78.03,65,0,9.22
128,Bayanday,RU,2022-04-22 18:06:48,53.0661,105.5139,30.6,97,100,3.76
129,Meulaboh,ID,2022-04-22 18:02:13,4.1363,96.1285,79.65,84,99,3.65
130,Mahebourg,MU,2022-04-22 18:00:52,-20.4081,57.7,78.26,78,73,21.09
131,Kodiak,US,2022-04-22 18:07:49,57.79,-152.4072,40.51,93,100,24.16
132,Tagusao,PH,2022-04-22 18:07:50,9.1924,117.8141,79.68,83,44,4.61
133,Cherskiy,RU,2022-04-22 18:02:16,68.75,161.3,13.08,96,100,7.52
134,Fortuna,US,2022-04-22 18:06:29,40.5982,-124.1573,56.98,72,0,0.0
135,Auraiya,IN,2022-04-22 18:07:51,26.4667,79.5167,91.56,15,39,5.12
136,Kavaratti,IN,2022-04-22 18:06:27,10.5669,72.642,85.01,73,74,5.86
137,Hobart,AU,2022-04-22 17:55:46,-42.8794,147.3294,48.06,86,1,8.05
138,Airai,TL,2022-04-22 18:07:52,-8.9266,125.4092,59.38,78,85,2.93
139,Kahului,US,2022-04-22 18:07:52,20.8947,-156.47,74.84,83,40,11.5
140,Chihuahua,MX,2022-04-22 18:05:17,28.5,-106.0,81.43,12,19,16.93
141,Camocim,BR,2022-04-22 18:07:53,-2.9022,-40.8411,81.16,84,97,9.22
142,Carnarvon,AU,2022-04-22 18:00:55,-24.8667,113.6333,75.7,71,0,10.85
143,Port Elizabeth,ZA,2022-04-22 18:07:53,-33.918,25.5701,61.32,89,96,8.01
144,Suna,RU,2022-04-22 18:07:54,57.8338,50.0588,31.59,85,59,2.51
145,Nemuro,JP,2022-04-22 18:06:28,43.3236,145.575,43.92,92,83,22.75
146,Katangli,RU,2022-04-22 18:07:54,51.7102,143.2326,29.88,98,100,10.09
147,La Tuque,CA,2022-04-22 18:07:55,47.4334,-72.7824,39.45,66,94,14.47
148,Broome,US,2022-04-22 18:07:55,42.2506,-75.833,56.7,49,0,12.66
149,Coihaique,CL,2022-04-22 18:07:56,-45.5752,-72.0662,48.81,81,100,5.75
150,Agde,FR,2022-04-22 18:07:56,43.3108,3.4758,59.04,85,0,12.66
151,Jyvaskyla,FI,2022-04-22 18:07:56,62.2415,25.7209,50.34,50,0,8.05
152,Pitimbu,BR,2022-04-22 18:07:57,-7.4706,-34.8086,86.59,70,63,12.68
153,Monkey Bay,MW,2022-04-22 18:07:57,-14.0728,34.9201,77.07,76,6,11.65
154,Jamestown,US,2022-04-22 17:58:20,42.097,-79.2353,59.05,33,15,4.0
155,Moussoro,TD,2022-04-22 18:07:58,13.6408,16.4901,97.36,15,94,7.94
156,Amarante Do Maranhao,BR,2022-04-22 18:07:58,-5.5667,-46.7422,85.53,62,83,5.44
157,Bethel,US,2022-04-22 18:00:49,41.3712,-73.414,67.01,36,0,3.0
158,Tezu,IN,2022-04-22 18:07:59,27.9167,96.1667,70.09,82,79,1.97
159,Kodinsk,RU,2022-04-22 18:07:59,58.6881,99.1844,29.77,95,100,3.24
160,Coevorden,NL,2022-04-22 18:08:00,52.661,6.7405,61.39,56,63,14.9
161,Luena,AO,2022-04-22 18:08:00,-11.7833,19.9167,62.87,64,69,2.3
162,Saint George,US,2022-04-22 18:00:31,37.1041,-113.5841,53.44,64,75,6.91
163,Cidreira,BR,2022-04-22 18:08:01,-30.1811,-50.2056,73.74,66,53,9.95
164,Wattegama,LK,2022-04-22 18:06:18,6.7989,81.4808,75.72,93,100,1.66
165,Bogotol,RU,2022-04-22 18:08:02,56.2078,89.5342,21.42,67,94,17.07
166,Tromso,NO,2022-04-22 18:08:02,69.6496,18.957,37.42,87,75,8.05
167,Hay River,CA,2022-04-22 18:08:03,60.8156,-115.7999,35.67,85,80,2.24
168,Castro,BR,2022-04-22 18:08:03,-24.7911,-50.0119,69.78,71,90,8.77
169,Sobolevo,RU,2022-04-22 18:08:04,54.4299,31.8996,46.99,72,93,5.59
170,Port Hawkesbury,CA,2022-04-22 18:08:04,45.6169,-61.3485,48.88,90,100,12.66
